start,year,month,day,hour,ausleihen_real,ausleihen_predict,rueckgaben_real,rueckgaben_predicted,real_differenz,predicted_differenz,differenz_mape
2019-06-03 14:00:00,2019,6,3,14,27.0,24.736147,33.0,25.819975,-6.0,-1.0838280000000005,81.93619999999999
2019-06-03 15:00:00,2019,6,3,15,19.0,29.564465,28.0,28.219173,-9.0,1.345291999999997,114.94768888888886
2019-06-03 16:00:00,2019,6,3,16,31.0,30.877825,31.0,31.546371,0.0,-0.6685459999999992,0.0
2019-06-03 17:00:00,2019,6,3,17,77.0,42.12305,66.0,37.521015,11.0,4.602035000000001,58.16331818181818
2019-06-03 18:00:00,2019,6,3,18,105.0,68.95621,50.0,55.54349,55.0,13.41272,75.61323636363636
2019-06-03 19:00:00,2019,6,3,19,73.0,57.808537,53.0,44.404434,20.0,13.404103,32.979485000000004
2019-06-03 20:00:00,2019,6,3,20,31.0,37.91165,29.0,30.709736,2.0,7.201914000000002,260.0957000000001
2019-06-03 21:00:00,2019,6,3,21,22.0,19.673773,15.0,16.978159,7.0,2.695613999999999,61.49122857142858
2019-06-04 06:00:00,2019,6,4,6,9.0,8.069109,22.0,16.513075,-13.0,-8.443966000000001,35.04641538461538
2019-06-04 07:00:00,2019,6,4,7,29.0,17.381659,53.0,46.95076,-24.0,-29.569101000000003,23.204587500000017
2019-06-04 08:00:00,2019,6,4,8,34.0,30.435118,88.0,75.3948,-54.0,-44.959682,16.74132962962963
2019-06-04 09:00:00,2019,6,4,9,27.0,23.107492,46.0,41.386333,-19.0,-18.278841,3.795573684210527
2019-06-04 10:00:00,2019,6,4,10,21.0,14.609573,24.0,19.058376,-3.0,-4.448803,48.29343333333333
2019-06-04 11:00:00,2019,6,4,11,19.0,12.493714,14.0,14.378316,5.0,-1.8846019999999992,137.69204
2019-06-04 12:00:00,2019,6,4,12,21.0,12.599513,21.0,12.640942,0.0,-0.041429000000000826,0.0
2019-06-04 13:00:00,2019,6,4,13,21.0,13.164728,25.0,15.321056,-4.0,-2.1563280000000002,46.09179999999999
2019-06-04 14:00:00,2019,6,4,14,17.0,16.313654,30.0,17.965298,-13.0,-1.651644000000001,87.29504615384614
2019-06-04 15:00:00,2019,6,4,15,28.0,20.12145,31.0,19.87556,-3.0,0.24588999999999928,108.19633333333331
2019-06-04 16:00:00,2019,6,4,16,19.0,22.811337,33.0,27.390844,-14.0,-4.5795069999999996,67.28923571428572
2019-06-04 17:00:00,2019,6,4,17,92.0,48.5506,78.0,42.75117,14.0,5.799430000000001,58.57549999999999
2019-06-04 18:00:00,2019,6,4,18,112.0,75.71902,68.0,60.1764,44.0,15.54262,64.67586363636364
2019-06-04 19:00:00,2019,6,4,19,55.0,50.86653,52.0,38.9959,3.0,11.870629999999998,295.6876666666666
