year,month,day,hour,count,subrate
2019,8,31,3,1,1.0
2019,8,31,6,2,0.5
2019,8,31,7,8,0.625
2019,8,31,8,4,0.75
2019,8,31,9,17,0.7058823529411765
2019,8,31,10,23,0.391304347826087
2019,8,31,11,26,0.38461538461538464
2019,8,31,12,34,0.4117647058823529
2019,8,31,13,46,0.32608695652173914
2019,8,31,14,38,0.5526315789473685
2019,8,31,15,38,0.39473684210526316
2019,8,31,16,33,0.3333333333333333
2019,8,31,17,40,0.3
2019,8,31,18,29,0.41379310344827586
2019,8,31,19,29,0.3793103448275862
2019,8,31,20,10,0.5
2019,8,31,21,5,0.6
2019,8,31,22,5,0.4
2019,8,31,23,5,0.4
2019,9,1,0,1,0.0
2019,9,1,1,6,0.3333333333333333
2019,9,1,4,4,0.0
2019,9,1,7,4,1.0
2019,9,1,8,8,0.75
2019,9,1,9,21,0.5238095238095238
2019,9,1,10,32,0.59375
2019,9,1,11,26,0.3076923076923077
2019,9,1,12,32,0.65625
2019,9,1,13,15,0.6666666666666666
2019,9,1,14,36,0.3333333333333333
2019,9,1,15,25,0.32
2019,9,1,16,30,0.5
2019,9,1,17,41,0.4634146341463415
2019,9,1,18,37,0.4594594594594595
2019,9,1,19,34,0.5882352941176471
2019,9,1,20,14,0.5
2019,9,1,21,12,0.5
2019,9,1,22,8,0.125
2019,9,2,0,3,0.6666666666666666
2019,9,2,5,1,0.0
2019,9,2,6,1,1.0
2019,9,2,7,6,0.8333333333333334
2019,9,2,8,13,0.6153846153846154
2019,9,2,9,19,0.42105263157894735
2019,9,2,10,18,0.6111111111111112
2019,9,2,11,1,0.0
2019,9,2,12,4,0.75
2019,9,2,13,7,1.0
2019,9,2,14,12,0.5833333333333334
2019,9,2,15,6,0.6666666666666666
2019,9,2,16,12,0.5833333333333334
2019,9,2,17,9,0.5555555555555556
2019,9,2,18,20,0.9
2019,9,2,19,21,0.5714285714285714
2019,9,2,20,9,0.6666666666666666
2019,9,2,21,10,0.9
2019,9,2,22,9,0.6666666666666666
2019,9,2,23,1,1.0
2019,9,3,5,7,1.0
2019,9,3,6,17,0.8823529411764706
2019,9,3,7,59,0.9322033898305084
2019,9,3,8,83,0.927710843373494
2019,9,3,9,37,0.9459459459459459
2019,9,3,10,27,0.7777777777777778
2019,9,3,11,19,0.5789473684210527
2019,9,3,12,14,0.42857142857142855
2019,9,3,13,7,0.7142857142857143
2019,9,3,14,14,0.8571428571428571
2019,9,3,15,17,0.7647058823529411
2019,9,3,16,39,0.6923076923076923
2019,9,3,17,57,0.8421052631578947
2019,9,3,18,71,0.8450704225352113
2019,9,3,19,52,0.8076923076923077
2019,9,3,20,18,0.8888888888888888
2019,9,3,21,12,0.8333333333333334
2019,9,3,22,10,0.9
2019,9,3,23,2,1.0
2019,9,4,0,2,1.0
2019,9,4,5,7,0.8571428571428571
2019,9,4,6,28,0.9285714285714286
2019,9,4,7,53,0.9433962264150944
2019,9,4,8,105,0.9619047619047619
2019,9,4,9,40,0.95
2019,9,4,10,13,0.7692307692307693
2019,9,4,11,15,0.6666666666666666
2019,9,4,12,11,0.8181818181818182
2019,9,4,13,16,0.5625
2019,9,4,14,9,0.8888888888888888
2019,9,4,15,18,0.6666666666666666
2019,9,4,16,27,0.8518518518518519
2019,9,4,17,58,0.8275862068965517
2019,9,4,18,59,0.8305084745762712
2019,9,4,19,37,0.8378378378378378
2019,9,4,20,26,0.7307692307692307
2019,9,4,21,15,0.8666666666666667
2019,9,4,22,7,1.0
2019,9,4,23,4,1.0
2019,9,5,0,1,1.0
2019,9,5,1,1,1.0
