year,month,day,hour,ausleihen,subrate,holidays,weekday,workday
2015,2,8,16,4,1.0,0,6,0
2015,2,8,17,3,1.0,0,6,0
2015,2,8,18,4,1.0,0,6,0
2015,2,8,19,1,1.0,0,6,0
2015,2,8,21,1,1.0,0,6,0
2015,2,8,23,1,1.0,0,6,0
2015,2,9,1,1,1.0,0,0,1
2015,2,9,7,2,1.0,0,0,1
2015,2,9,8,3,1.0,0,0,1
2015,2,9,9,1,1.0,0,0,1
2015,2,9,14,3,1.0,0,0,1
2015,2,9,15,1,1.0,0,0,1
2015,2,9,16,1,1.0,0,0,1
2015,2,9,19,3,1.0,0,0,1
2015,2,9,21,1,1.0,0,0,1
2015,2,10,7,1,1.0,0,1,1
2015,2,10,8,4,1.0,0,1,1
2015,2,10,9,1,1.0,0,1,1
2015,2,10,10,2,1.0,0,1,1
2015,2,10,12,1,1.0,0,1,1
2015,2,10,13,1,1.0,0,1,1
2015,2,10,14,3,1.0,0,1,1
2015,2,10,15,3,1.0,0,1,1
2015,2,10,16,4,1.0,0,1,1
2015,2,10,17,5,1.0,0,1,1
2015,2,10,18,6,1.0,0,1,1
2015,2,10,19,5,1.0,0,1,1
2015,2,10,20,3,1.0,0,1,1
2015,2,10,21,2,1.0,0,1,1
2015,2,11,5,1,1.0,0,2,1
2015,2,11,6,1,1.0,0,2,1
2015,2,11,7,1,1.0,0,2,1
2015,2,11,8,7,1.0,0,2,1
2015,2,11,9,4,1.0,0,2,1
2015,2,11,10,1,1.0,0,2,1
2015,2,11,11,2,1.0,0,2,1
2015,2,11,12,1,1.0,0,2,1
2015,2,11,13,3,1.0,0,2,1
2015,2,11,14,4,1.0,0,2,1
2015,2,11,15,4,1.0,0,2,1
2015,2,11,16,2,1.0,0,2,1
2015,2,11,17,5,1.0,0,2,1
2015,2,11,18,6,1.0,0,2,1
2015,2,11,19,3,1.0,0,2,1
2015,2,11,20,1,1.0,0,2,1
2015,2,11,21,1,1.0,0,2,1
2015,2,12,7,3,1.0,0,3,1
2015,2,12,8,3,1.0,0,3,1
2015,2,12,9,3,1.0,0,3,1
2015,2,12,11,4,1.0,0,3,1
2015,2,12,17,7,1.0,0,3,1
2015,2,12,18,2,1.0,0,3,1
2015,2,12,20,1,1.0,0,3,1
2015,2,12,21,1,1.0,0,3,1
2015,2,13,6,1,1.0,0,4,1
2015,2,13,7,3,1.0,0,4,1
2015,2,13,8,4,1.0,0,4,1
2015,2,13,9,3,1.0,0,4,1
2015,2,13,10,1,1.0,0,4,1
2015,2,13,13,1,1.0,0,4,1
2015,2,13,14,7,1.0,0,4,1
2015,2,13,15,5,1.0,0,4,1
2015,2,13,16,1,1.0,0,4,1
2015,2,13,17,2,1.0,0,4,1
2015,2,13,18,2,1.0,0,4,1
2015,2,13,19,1,1.0,0,4,1
2015,2,13,20,1,1.0,0,4,1
2015,2,14,8,1,1.0,0,5,0
2015,2,14,10,3,1.0,0,5,0
2015,2,14,11,3,1.0,0,5,0
2015,2,14,12,1,1.0,0,5,0
2015,2,14,13,1,1.0,0,5,0
2015,2,14,15,1,1.0,0,5,0
2015,2,14,20,1,1.0,0,5,0
2015,2,14,22,1,1.0,0,5,0
2015,2,15,12,1,1.0,0,6,0
2015,2,15,14,1,1.0,0,6,0
2015,2,15,17,2,1.0,0,6,0
2015,2,15,19,2,1.0,0,6,0
2015,2,16,9,1,1.0,1,0,0
2015,2,16,11,1,1.0,1,0,0
2015,2,16,12,1,1.0,1,0,0
2015,2,16,14,1,1.0,1,0,0
2015,2,16,15,1,1.0,1,0,0
2015,2,16,16,2,1.0,1,0,0
2015,2,16,18,2,1.0,1,0,0
2015,2,16,20,1,1.0,1,0,0
2015,2,17,8,1,1.0,0,1,1
2015,2,17,9,1,1.0,0,1,1
2015,2,17,10,2,1.0,0,1,1
2015,2,17,15,3,1.0,0,1,1
2015,2,17,16,1,1.0,0,1,1
2015,2,17,17,3,1.0,0,1,1
2015,2,17,18,3,1.0,0,1,1
2015,2,17,19,2,1.0,0,1,1
2015,2,17,20,2,1.0,0,1,1
2015,2,17,21,1,1.0,0,1,1
2015,2,18,6,1,1.0,0,2,1
2015,2,18,7,2,1.0,0,2,1
2015,2,18,11,2,1.0,0,2,1
2015,2,18,12,3,1.0,0,2,1
2015,2,18,13,5,1.0,0,2,1
2015,2,18,15,8,1.0,0,2,1
2015,2,18,16,3,1.0,0,2,1
2015,2,18,17,7,1.0,0,2,1
2015,2,18,18,3,1.0,0,2,1
2015,2,18,19,2,0.5,0,2,1
2015,2,18,21,1,1.0,0,2,1
2015,2,19,6,2,1.0,0,3,1
2015,2,19,7,2,1.0,0,3,1
2015,2,19,8,3,1.0,0,3,1
2015,2,19,9,4,1.0,0,3,1
2015,2,19,10,2,1.0,0,3,1
2015,2,19,12,2,1.0,0,3,1
2015,2,19,13,1,1.0,0,3,1
2015,2,19,14,1,1.0,0,3,1
2015,2,19,15,1,1.0,0,3,1
2015,2,19,16,2,1.0,0,3,1
2015,2,19,17,2,1.0,0,3,1
2015,2,19,18,3,1.0,0,3,1
2015,2,19,19,1,1.0,0,3,1
2015,2,19,20,4,1.0,0,3,1
2015,2,20,7,1,1.0,0,4,1
2015,2,20,8,3,1.0,0,4,1
2015,2,20,9,1,1.0,0,4,1
2015,2,20,10,1,1.0,0,4,1
2015,2,20,11,1,1.0,0,4,1
2015,2,20,12,1,1.0,0,4,1
2015,2,20,14,3,1.0,0,4,1
2015,2,20,16,4,1.0,0,4,1
2015,2,20,17,1,1.0,0,4,1
2015,2,20,19,1,1.0,0,4,1
2015,2,20,20,2,1.0,0,4,1
2015,2,21,9,1,1.0,0,5,0
2015,2,21,11,1,1.0,0,5,0
2015,2,21,12,1,1.0,0,5,0
2015,2,21,13,1,1.0,0,5,0
2015,2,21,18,1,1.0,0,5,0
2015,2,21,22,1,0.0,0,5,0
2015,2,22,9,1,1.0,0,6,0
2015,2,22,10,1,1.0,0,6,0
2015,2,22,12,6,1.0,0,6,0
2015,2,22,14,4,1.0,0,6,0
2015,2,22,15,2,1.0,0,6,0
2015,2,22,16,3,1.0,0,6,0
2015,2,22,17,5,1.0,0,6,0
2015,2,22,18,4,1.0,0,6,0
2015,2,22,19,3,1.0,0,6,0
2015,2,22,20,2,1.0,0,6,0
2015,2,23,5,2,1.0,0,0,1
2015,2,23,6,2,1.0,0,0,1
2015,2,23,8,5,1.0,0,0,1
2015,2,23,10,1,1.0,0,0,1
2015,2,23,11,1,1.0,0,0,1
2015,2,23,12,1,0.0,0,0,1
2015,2,23,14,1,1.0,0,0,1
2015,2,23,15,4,1.0,0,0,1
2015,2,23,16,1,1.0,0,0,1
2015,2,23,17,4,1.0,0,0,1
2015,2,23,18,2,1.0,0,0,1
2015,2,23,19,3,0.6666666666666666,0,0,1
2015,2,23,20,2,1.0,0,0,1
2015,2,24,7,3,1.0,0,1,1
2015,2,24,8,4,1.0,0,1,1
2015,2,24,9,2,1.0,0,1,1
2015,2,24,10,2,1.0,0,1,1
2015,2,24,11,3,1.0,0,1,1
2015,2,24,13,1,1.0,0,1,1
2015,2,24,14,1,1.0,0,1,1
2015,2,24,15,4,0.75,0,1,1
2015,2,24,16,1,1.0,0,1,1
2015,2,24,17,5,1.0,0,1,1
2015,2,24,18,5,1.0,0,1,1
2015,2,24,19,2,1.0,0,1,1
2015,2,24,20,2,1.0,0,1,1
2015,2,24,21,2,1.0,0,1,1
2015,2,25,6,2,1.0,0,2,1
2015,2,25,7,1,1.0,0,2,1
2015,2,25,8,8,1.0,0,2,1
2015,2,25,9,3,1.0,0,2,1
2015,2,25,10,1,1.0,0,2,1
2015,2,25,11,4,1.0,0,2,1
