year,month,day,hour,ausleihen,subrate,holidays,weekday,workday,tempC,precipMM,humidity,windspeedKmph,weatherDesc2,starttime,ausleihe1woche,ausleihe1stunde,ausleihe2stunde,ausleihe2woche,ausleihe3woche,abweichung,abweichungdurchschnitt
2015,6,13,12,19,0.7894736842105263,0,5,0,26,0.0,51,9,Partly cloudy,2015-06-13 12:00:00,16,23,14,35,16,18.75,14.925373134328353
2015,6,13,16,45,0.5111111111111111,0,5,0,23,0.0,60,7,Partly cloudy,2015-06-13 16:00:00,43,44,26,45,38,4.651162790697675,7.142857142857142
2015,6,13,17,47,0.5319148936170213,0,5,0,23,0.0,62,6,Sunny,2015-06-13 17:00:00,37,45,44,54,43,9.30232558139535,5.223880597014931
2015,6,13,18,41,0.5853658536585366,0,5,0,22,0.0,64,6,Clear,2015-06-13 18:00:00,30,47,45,35,48,17.142857142857142,8.8495575221239
2015,6,13,19,40,0.45,0,5,0,21,0.0,69,8,Clear,2015-06-13 19:00:00,25,41,47,41,33,21.21212121212121,21.21212121212121
2015,6,13,21,14,0.5714285714285714,0,5,0,19,0.0,80,12,Clear,2015-06-13 21:00:00,12,26,40,11,6,27.27272727272727,44.827586206896555
2015,6,14,8,6,0.6666666666666666,0,6,0,24,0.0,65,6,Sunny,2015-06-14 08:00:00,8,5,2,8,3,25.0,5.263157894736838
2015,6,14,10,18,0.6111111111111112,0,6,0,26,0.0,60,9,Sunny,2015-06-14 10:00:00,26,7,6,12,15,20.0,1.886792452830182
2015,6,14,13,30,0.5333333333333333,0,6,0,26,0.0,60,14,Cloudy,2015-06-14 13:00:00,36,17,35,33,40,16.666666666666664,17.431192660550465
2015,6,14,19,31,0.6451612903225806,0,6,0,21,0.0,80,16,Partly cloudy,2015-06-14 19:00:00,44,40,34,1,35,11.428571428571429,16.249999999999996
2015,6,14,21,5,0.8,0,6,0,20,0.6,89,14,Patchy light rain,2015-06-14 21:00:00,5,28,31,1,13,0.0,21.052631578947363
2015,6,15,13,6,1.0,0,0,1,24,0.0,83,8,Partly cloudy,2015-06-15 13:00:00,7,10,14,2,43,14.285714285714285,65.38461538461539
2015,6,15,14,12,0.6666666666666666,0,0,1,24,0.9,85,10,Moderate or heavy rain shower,2015-06-15 14:00:00,13,6,10,6,38,7.6923076923076925,36.84210526315789
2015,6,15,19,25,0.8,0,0,1,20,0.7,91,15,Moderate or heavy rain shower,2015-06-15 19:00:00,24,26,6,2,27,4.166666666666666,41.50943396226414
2015,6,15,21,7,0.5714285714285714,0,0,1,17,0.0,91,14,Cloudy,2015-06-15 21:00:00,9,16,25,3,9,22.22222222222222,0.0
2015,6,16,5,1,1.0,0,1,1,19,0.7,95,5,Light rain shower,2015-06-16 05:00:00,1,0,0,2,1,0.0,24.999999999999993
2015,6,16,7,14,0.9285714285714286,0,1,1,20,0.5,91,8,Light rain shower,2015-06-16 07:00:00,11,6,1,2,13,27.27272727272727,61.538461538461554
2015,6,16,8,15,1.0,0,1,1,21,0.2,88,11,Light rain shower,2015-06-16 08:00:00,17,14,6,8,17,11.76470588235294,7.142857142857142
