start,year,month,dayofweek,hour,bikeid,day1anzahl,weekday
2017-01-31,2017,1,1,6,35,48.0,1
2017-01-31,2017,1,1,7,35,23.0,1
2017-01-31,2017,1,1,8,16,17.0,1
2017-01-31,2017,1,1,9,12,11.0,1
2017-01-31,2017,1,1,10,2,5.0,1
2017-01-31,2017,1,1,11,8,7.0,1
2017-01-31,2017,1,1,12,1,6.0,1
2017-01-31,2017,1,1,13,3,5.0,1
2017-01-31,2017,1,1,14,3,7.0,1
2017-01-31,2017,1,1,16,4,7.0,1
2017-01-31,2017,1,1,17,9,6.0,1
2017-01-31,2017,1,1,18,21,15.0,1
2017-01-31,2017,1,1,19,6,12.0,1
2017-01-31,2017,1,1,20,3,6.0,1
2017-01-31,2017,1,1,21,10,1.0,1
2017-01-31,2017,1,1,22,5,3.0,1
2017-02-01,2017,2,2,0,1,,1
2017-02-01,2017,2,2,4,3,2.0,1
2017-02-01,2017,2,2,5,7,6.0,1
2017-02-01,2017,2,2,6,41,35.0,1
2017-02-01,2017,2,2,7,18,35.0,1
2017-02-01,2017,2,2,8,21,16.0,1
