start,year,month,dayofweek,hour,bikeid
2017-01-29,2017,1,6,7,1
2017-01-29,2017,1,6,8,1
2017-01-29,2017,1,6,9,4
2017-01-29,2017,1,6,10,2
2017-01-29,2017,1,6,11,3
2017-01-29,2017,1,6,12,3
2017-01-29,2017,1,6,13,5
2017-01-29,2017,1,6,14,8
2017-01-29,2017,1,6,15,9
2017-01-29,2017,1,6,16,5
2017-01-29,2017,1,6,17,15
2017-01-29,2017,1,6,18,3
2017-01-29,2017,1,6,19,7
2017-01-29,2017,1,6,20,3
2017-01-29,2017,1,6,21,4
2017-01-29,2017,1,6,22,2
2017-01-29,2017,1,6,23,4
2017-01-30,2017,1,0,0,1
2017-01-30,2017,1,0,2,2
2017-01-30,2017,1,0,4,3
2017-01-30,2017,1,0,5,6
2017-01-30,2017,1,0,6,48
2017-01-30,2017,1,0,7,23
2017-01-30,2017,1,0,8,17
2017-01-30,2017,1,0,9,11
2017-01-30,2017,1,0,10,5
2017-01-30,2017,1,0,11,7
2017-01-30,2017,1,0,12,6
2017-01-30,2017,1,0,13,5
2017-01-30,2017,1,0,14,7
2017-01-30,2017,1,0,15,5
2017-01-30,2017,1,0,16,7
2017-01-30,2017,1,0,17,6
2017-01-30,2017,1,0,18,15
2017-01-30,2017,1,0,19,12
2017-01-30,2017,1,0,20,6
2017-01-30,2017,1,0,21,1
2017-01-30,2017,1,0,22,3
2017-01-30,2017,1,0,23,3
2017-01-31,2017,1,1,4,2
2017-01-31,2017,1,1,5,6
2017-01-31,2017,1,1,6,35
2017-01-31,2017,1,1,7,35
2017-01-31,2017,1,1,8,16
2017-01-31,2017,1,1,9,12
2017-01-31,2017,1,1,10,2
2017-01-31,2017,1,1,11,8
2017-01-31,2017,1,1,12,1
2017-01-31,2017,1,1,13,3
2017-01-31,2017,1,1,14,3
2017-01-31,2017,1,1,16,4
2017-01-31,2017,1,1,17,9
2017-01-31,2017,1,1,18,21
2017-01-31,2017,1,1,19,6
2017-01-31,2017,1,1,20,3
2017-01-31,2017,1,1,21,10
2017-01-31,2017,1,1,22,5
2017-02-01,2017,2,2,0,1
2017-02-01,2017,2,2,4,3
2017-02-01,2017,2,2,5,7
2017-02-01,2017,2,2,6,41
2017-02-01,2017,2,2,7,18
2017-02-01,2017,2,2,8,21
2017-02-01,2017,2,2,9,15
2017-02-01,2017,2,2,10,5
2017-02-01,2017,2,2,11,10
2017-02-01,2017,2,2,12,7
2017-02-01,2017,2,2,13,6
2017-02-01,2017,2,2,14,4
2017-02-01,2017,2,2,15,4
2017-02-01,2017,2,2,16,10
2017-02-01,2017,2,2,17,9
2017-02-01,2017,2,2,18,18
2017-02-01,2017,2,2,19,20
2017-02-01,2017,2,2,20,6
2017-02-01,2017,2,2,21,11
2017-02-01,2017,2,2,22,5
2017-02-01,2017,2,2,23,3
2017-02-02,2017,2,3,0,3
2017-02-02,2017,2,3,1,1
2017-02-02,2017,2,3,4,2
2017-02-02,2017,2,3,5,4
2017-02-02,2017,2,3,6,40
2017-02-02,2017,2,3,7,20
2017-02-02,2017,2,3,8,14
2017-02-02,2017,2,3,9,15
2017-02-02,2017,2,3,10,5
2017-02-02,2017,2,3,11,11
2017-02-02,2017,2,3,12,7
2017-02-02,2017,2,3,13,4
2017-02-02,2017,2,3,14,4
2017-02-02,2017,2,3,15,8
2017-02-02,2017,2,3,16,7
2017-02-02,2017,2,3,17,17
2017-02-02,2017,2,3,18,12
2017-02-02,2017,2,3,19,9
2017-02-02,2017,2,3,20,6
2017-02-02,2017,2,3,21,3
2017-02-02,2017,2,3,22,7
2017-02-02,2017,2,3,23,4
2017-02-03,2017,2,4,0,1
2017-02-03,2017,2,4,4,2
2017-02-03,2017,2,4,5,3
2017-02-03,2017,2,4,6,33
2017-02-03,2017,2,4,7,31
2017-02-03,2017,2,4,8,11
2017-02-03,2017,2,4,9,13
2017-02-03,2017,2,4,10,8
2017-02-03,2017,2,4,11,3
