year,subrate,holidays,workday,tempC,precipMM,humidity,windspeedKmph,rueckgabe1stunde,ausleihen1stunde,ausleihen2stunde,ausleihen3stunde,ausleihen4stunde,ausleihen5stunde,ausleihen6stunde,weatherDesc2,weekday,month,hour,predict,count,differenz_prozent
2017,0.625,0,0,21,0.0,69,18,57,58,53,39,40,28,34,1,6,4,17,56.1527,16,-250.95436573028564
2015,0.5,0,1,23,0.0,83,13,22,21,13,37,63,49,29,1,1,7,23,9.028025,4,-125.70061683654785
2015,1.0,0,1,4,0.1,78,15,10,7,11,8,7,13,3,3,0,3,20,4.1347365,2,-106.73682689666748
2017,0.5,0,1,10,0.1,82,17,8,7,11,15,19,51,38,3,3,5,23,4.367502,2,-118.3751106262207
2017,1.0,0,1,7,0.0,77,4,2,1,5,7,12,14,6,2,4,1,12,3.1373975,1,-213.73975276947021
2016,1.0,0,0,6,0.0,87,13,7,5,16,21,32,31,39,1,5,3,20,3.3544283,1,-235.44282913208008
2017,0.25,0,1,14,0.0,58,20,24,22,21,16,13,8,14,1,1,4,15,27.000147,8,-237.50183582305908
2016,1.0,1,0,3,0.0,67,27,14,13,11,14,10,7,7,4,4,1,17,10.877618,1,-987.7617835998535
2016,1.0,0,1,-5,0.0,53,35,7,1,3,2,8,9,7,1,3,12,22,2.3964217,1,-139.64216709136963
2018,0.0,0,1,25,0.2,63,15,9,7,8,15,16,44,55,3,4,8,0,2.0385823,1,-103.85823249816895
2015,0.5714285714285714,0,1,23,0.0,42,20,14,16,11,11,30,14,11,1,0,5,12,15.543513,7,-122.05018997192383
2015,1.0,1,0,23,0.1,77,4,9,11,5,10,7,1,1,3,3,7,10,12.269022,6,-104.48369979858398
2016,0.5,0,1,17,0.8,81,3,8,25,31,78,57,14,32,3,0,10,21,16.766684,4,-319.1670894622803
