year,month,day,count
2017.0,1.0,12.0,81
2017.0,1.0,13.0,135
2017.0,1.0,14.0,98
2017.0,1.0,15.0,108
2017.0,1.0,16.0,120
2017.0,1.0,17.0,73
2017.0,1.0,18.0,115
2017.0,1.0,19.0,46
2017.0,1.0,20.0,102
2017.0,1.0,21.0,76
2017.0,1.0,22.0,153
2017.0,1.0,23.0,57
2017.0,1.0,24.0,30
2017.0,1.0,25.0,93
2017.0,1.0,26.0,85
2017.0,1.0,27.0,106
2017.0,1.0,28.0,79
2017.0,1.0,29.0,210
2017.0,1.0,30.0,128
2017.0,1.0,31.0,60
2017.0,2.0,1.0,38
2017.0,2.0,2.0,65
2017.0,2.0,3.0,87
2017.0,2.0,4.0,121
2017.0,2.0,5.0,156
2017.0,2.0,6.0,194
2017.0,2.0,7.0,87
2017.0,2.0,8.0,67
2017.0,2.0,10.0,56
2017.0,2.0,11.0,40
2017.0,2.0,12.0,87
2017.0,2.0,13.0,65
2017.0,2.0,14.0,139
2017.0,2.0,15.0,135
2017.0,2.0,16.0,130
2017.0,2.0,17.0,79
2017.0,2.0,18.0,167
2017.0,2.0,19.0,88
2017.0,2.0,20.0,59
2017.0,2.0,21.0,194
2017.0,2.0,22.0,153
2017.0,2.0,23.0,136
2017.0,2.0,24.0,122
2017.0,2.0,25.0,143
2017.0,2.0,26.0,124
2017.0,2.0,27.0,133
2017.0,2.0,28.0,141
2017.0,3.0,1.0,147
2017.0,3.0,2.0,84
2017.0,3.0,3.0,93
2017.0,3.0,4.0,80
2017.0,3.0,5.0,108
2017.0,3.0,6.0,164
2017.0,3.0,7.0,153
2017.0,3.0,8.0,39
2017.0,3.0,9.0,102
2017.0,3.0,10.0,79
2017.0,3.0,11.0,113
2017.0,3.0,12.0,89
2017.0,3.0,13.0,106
2017.0,3.0,17.0,121
2017.0,3.0,18.0,17
2017.0,3.0,19.0,237
2017.0,3.0,20.0,340
2017.0,3.0,21.0,214
2017.0,3.0,22.0,131
2017.0,3.0,23.0,167
2017.0,3.0,24.0,177
2017.0,3.0,25.0,218
2017.0,3.0,26.0,249
2017.0,3.0,27.0,310
2017.0,3.0,28.0,134
2017.0,3.0,29.0,169
2017.0,3.0,30.0,226
2017.0,3.0,31.0,163
2017.0,4.0,1.0,136
2017.0,4.0,2.0,155
2017.0,4.0,3.0,100
2017.0,4.0,4.0,70
2017.0,4.0,5.0,174
2017.0,4.0,6.0,109
2017.0,4.0,7.0,185
2017.0,4.0,8.0,228
2017.0,4.0,9.0,117
2017.0,4.0,10.0,87
2017.0,4.0,11.0,62
2017.0,4.0,12.0,122
2017.0,4.0,13.0,66
2017.0,4.0,14.0,105
2017.0,4.0,15.0,150
2017.0,4.0,16.0,206
2017.0,4.0,17.0,115
2017.0,4.0,18.0,116
2017.0,4.0,19.0,148
2017.0,4.0,20.0,242
2017.0,4.0,21.0,119
2017.0,4.0,22.0,177
2017.0,4.0,23.0,118
2017.0,4.0,24.0,241
2017.0,4.0,25.0,153
2017.0,4.0,26.0,84
2017.0,4.0,27.0,308
2017.0,4.0,28.0,295
2017.0,4.0,29.0,183
2017.0,4.0,30.0,323
2017.0,5.0,1.0,101
2017.0,5.0,2.0,177
2017.0,5.0,3.0,271
2017.0,5.0,4.0,431
2017.0,5.0,5.0,308
2017.0,5.0,6.0,461
2017.0,5.0,7.0,370
2017.0,5.0,8.0,380
2017.0,5.0,9.0,394
2017.0,5.0,10.0,308
2017.0,5.0,11.0,466
2017.0,5.0,12.0,336
2017.0,5.0,13.0,130
2017.0,5.0,14.0,299
2017.0,5.0,15.0,208
2017.0,5.0,16.0,244
2017.0,5.0,17.0,233
2017.0,5.0,18.0,295
2017.0,5.0,19.0,532
2017.0,5.0,20.0,263
2017.0,5.0,21.0,95
2017.0,5.0,22.0,271
2017.0,5.0,23.0,436
2017.0,5.0,24.0,617
2017.0,5.0,25.0,368
2017.0,5.0,26.0,333
2017.0,5.0,27.0,395
2017.0,5.0,28.0,419
2017.0,5.0,29.0,358
2017.0,5.0,30.0,412
2017.0,5.0,31.0,95
2017.0,6.0,1.0,404
2017.0,6.0,2.0,304
2017.0,6.0,3.0,355
2017.0,6.0,4.0,401
2017.0,6.0,5.0,373
2017.0,6.0,6.0,343
2017.0,6.0,7.0,236
2017.0,6.0,8.0,318
2017.0,6.0,9.0,311
2017.0,6.0,10.0,520
2017.0,6.0,11.0,496
2017.0,6.0,12.0,507
2017.0,6.0,13.0,518
2017.0,6.0,14.0,369
2017.0,6.0,15.0,489
2017.0,6.0,16.0,163
2017.0,6.0,17.0,425
2017.0,6.0,18.0,388
2017.0,6.0,19.0,151
2017.0,6.0,20.0,468
2017.0,6.0,21.0,533
2017.0,6.0,22.0,313
2017.0,6.0,23.0,335
2017.0,6.0,24.0,335
2017.0,6.0,25.0,542
2017.0,6.0,26.0,502
2017.0,6.0,27.0,465
2017.0,6.0,28.0,381
2017.0,6.0,29.0,239
2017.0,6.0,30.0,244
2017.0,7.0,1.0,334
2017.0,7.0,2.0,461
2017.0,7.0,3.0,605
2017.0,7.0,4.0,452
2017.0,7.0,5.0,492
2017.0,7.0,6.0,412
2017.0,7.0,7.0,452
2017.0,7.0,8.0,386
2017.0,7.0,9.0,524
2017.0,7.0,10.0,451
2017.0,7.0,11.0,374
2017.0,7.0,12.0,243
2017.0,7.0,13.0,620
2017.0,7.0,14.0,303
2017.0,7.0,15.0,414
2017.0,7.0,16.0,577
2017.0,7.0,17.0,547
2017.0,7.0,18.0,408
2017.0,7.0,19.0,588
2017.0,7.0,20.0,504
2017.0,7.0,21.0,712
2017.0,7.0,22.0,470
2017.0,7.0,23.0,525
2017.0,7.0,24.0,515
2017.0,7.0,25.0,484
2017.0,7.0,26.0,324
2017.0,7.0,27.0,464
2017.0,7.0,28.0,517
2017.0,7.0,29.0,531
2017.0,7.0,30.0,522
2017.0,7.0,31.0,367
2017.0,8.0,1.0,339
2017.0,8.0,2.0,640
2017.0,8.0,3.0,751
2017.0,8.0,4.0,511
2017.0,8.0,5.0,467
2017.0,8.0,6.0,504
2017.0,8.0,7.0,206
2017.0,8.0,8.0,481
2017.0,8.0,9.0,572
2017.0,8.0,10.0,491
2017.0,8.0,11.0,615
2017.0,8.0,12.0,525
2017.0,8.0,13.0,419
2017.0,8.0,14.0,402
2017.0,8.0,15.0,546
2017.0,8.0,16.0,324
2017.0,8.0,17.0,372
2017.0,8.0,18.0,538
2017.0,8.0,19.0,476
2017.0,8.0,20.0,574
2017.0,8.0,21.0,467
2017.0,8.0,22.0,450
2017.0,8.0,23.0,550
2017.0,8.0,24.0,639
2017.0,8.0,25.0,557
2017.0,8.0,26.0,457
2017.0,8.0,27.0,450
2017.0,8.0,28.0,363
2017.0,8.0,29.0,396
2017.0,8.0,30.0,528
2017.0,8.0,31.0,558
2017.0,9.0,1.0,247
2017.0,9.0,2.0,448
2017.0,9.0,3.0,626
2017.0,9.0,4.0,470
2017.0,9.0,5.0,487
2017.0,9.0,6.0,424
2017.0,9.0,7.0,358
2017.0,9.0,8.0,653
2017.0,9.0,9.0,497
2017.0,9.0,10.0,399
2017.0,9.0,11.0,488
2017.0,9.0,12.0,375
2017.0,9.0,13.0,313
2017.0,9.0,14.0,474
2017.0,9.0,15.0,678
2017.0,9.0,16.0,400
2017.0,9.0,17.0,488
2017.0,9.0,18.0,513
2017.0,9.0,19.0,601
2017.0,9.0,20.0,466
2017.0,9.0,21.0,487
2017.0,9.0,22.0,513
2017.0,9.0,23.0,528
2017.0,9.0,24.0,296
2017.0,9.0,25.0,528
2017.0,9.0,26.0,506
2017.0,9.0,27.0,445
2017.0,9.0,28.0,287
2017.0,9.0,29.0,500
2017.0,9.0,30.0,557
2017.0,10.0,1.0,320
2017.0,10.0,2.0,454
2017.0,10.0,3.0,417
2017.0,10.0,4.0,421
2017.0,10.0,5.0,513
2017.0,10.0,6.0,799
2017.0,10.0,7.0,731
2017.0,10.0,8.0,606
2017.0,10.0,9.0,486
2017.0,10.0,10.0,532
2017.0,10.0,11.0,423
2017.0,10.0,12.0,366
