year,sub,holidays,workday,tempC,precipMM,humidity,windspeedKmph,weekday,hour,weatherDesc2,month,predict,count,differenz_prozent
2015,rate,0,1,1,0.0,85,12,4,22,Cloudy,1,,,
2015,rate,0,1,1,0.5,88,11,4,23,Light sleet,1,,,
2015,rate,0,0,1,0.6,98,18,5,11,Light rain,1,,,
2015,rate,0,0,2,0.4,97,19,5,13,Light rain,1,,,
2015,rate,0,0,2,0.2,95,22,5,15,Patchy light drizzle,1,,,
2015,rate,0,0,1,0.2,86,22,5,18,Patchy snow possible,1,,,
2015,rate,0,0,0,0.0,86,24,5,20,Partly cloudy,1,,,
2015,rate,0,0,0,0.0,87,25,6,7,Sunny,1,,,
2015,rate,0,0,1,0.0,87,26,6,8,Patchy snow possible,1,,,
2015,rate,0,0,2,0.0,86,28,6,9,Patchy snow possible,1,,,
2015,rate,0,0,2,0.0,83,25,6,10,Patchy snow possible,1,,,
2015,rate,0,0,2,0.0,80,23,6,11,Moderate or heavy snow showers,1,,,
2015,rate,0,0,2,0.0,77,20,6,12,Moderate or heavy snow showers,1,,,
2015,rate,0,0,2,0.0,78,20,6,13,Moderate or heavy snow showers,1,,,
2015,rate,0,0,2,0.0,79,20,6,14,Partly cloudy,1,,,
2015,rate,0,0,2,0.0,80,19,6,15,Partly cloudy,1,,,
2015,rate,0,0,0,0.0,80,17,6,16,Partly cloudy,1,,,
2015,rate,0,0,-1,0.0,80,14,6,17,Partly cloudy,1,,,
2015,rate,0,0,-2,0.0,80,13,6,19,Partly cloudy,1,,,
2015,rate,0,0,-2,0.0,80,15,6,20,Light snow,1,,,
2015,rate,0,0,-3,0.0,80,18,6,22,Light snow,1,,,
2015,rate,0,1,-4,0.1,79,18,0,0,Moderate snow,1,,,
2015,rate,0,1,-4,0.3,90,20,0,6,Blizzard,1,,,
2015,rate,0,1,-4,0.2,90,23,0,7,Blizzard,1,,,
2015,rate,0,1,-5,0.3,90,27,0,8,Blizzard,1,,,
2015,rate,0,1,-5,0.4,90,31,0,9,Blizzard,1,,,
2015,rate,0,1,-4,0.7,91,29,0,11,Blizzard,1,,,
2015,rate,0,1,-4,0.5,92,31,0,13,Blizzard,1,,,
2015,rate,0,1,-3,0.3,92,34,0,14,Blizzard,1,,,
2015,rate,0,1,-3,0.8,91,33,0,18,Blizzard,1,,,
2015,rate,0,1,-5,0.6,93,32,1,8,Blizzard,1,,,
2015,rate,0,1,-2,0.6,88,27,1,13,Blizzard,1,,,
2015,rate,0,1,-3,0.1,87,30,1,15,Blizzard,1,,,
2015,rate,0,1,-3,0.0,87,26,1,16,Blizzard,1,,,
2015,rate,0,1,-4,0.1,86,23,1,17,Moderate snow,1,,,
2015,rate,0,1,-5,0.0,86,21,1,19,Moderate snow,1,,,
2015,rate,0,1,-7,0.0,83,24,2,6,Sunny,1,,,
2015,rate,0,1,-7,0.0,82,24,2,7,Sunny,1,,,
2015,rate,0,1,-7,0.0,80,24,2,9,Sunny,1,,,
2015,rate,0,1,-3,0.0,79,21,2,11,Sunny,1,,,
2015,rate,0,1,-2,0.0,79,19,2,12,Sunny,1,,,
2015,rate,0,1,-2,0.0,79,20,2,13,Sunny,1,,,
2015,rate,0,1,-2,0.0,80,21,2,14,Sunny,1,,,
2015,rate,0,1,-2,0.0,81,21,2,15,Sunny,1,,,
2015,rate,0,1,-3,0.0,81,18,2,16,Sunny,1,,,
2015,rate,0,1,-4,0.0,82,15,2,17,Sunny,1,,,
2015,rate,0,1,-6,0.0,83,12,2,18,Clear,1,,,
2015,rate,0,1,-6,0.0,82,13,2,19,Clear,1,,,
2015,rate,0,1,-6,0.0,81,14,2,20,Clear,1,,,
2015,rate,0,1,-6,0.0,80,16,2,21,Clear,1,,,
2015,rate,0,1,-7,0.0,79,13,2,23,Clear,1,,,
2015,rate,0,1,-9,0.0,75,8,3,6,Partly cloudy,1,,,
2015,rate,0,1,-8,0.0,75,7,3,7,Partly cloudy,1,,,
2015,rate,0,1,-6,0.0,74,7,3,8,Sunny,1,,,
2015,rate,0,1,-5,0.0,74,6,3,9,Sunny,1,,,
2015,rate,0,1,-4,0.0,74,6,3,10,Sunny,1,,,
2015,rate,0,1,-3,0.0,74,6,3,11,Overcast,1,,,
2015,rate,0,1,-2,0.0,75,6,3,12,Overcast,1,,,
2015,rate,0,1,-2,0.0,76,7,3,13,Overcast,1,,,
2015,rate,0,1,-1,0.0,77,9,3,14,Overcast,1,,,
2015,rate,0,1,-1,0.0,79,10,3,15,Overcast,1,,,
2015,rate,0,1,-1,0.0,80,11,3,16,Overcast,1,,,
2015,rate,0,1,-1,0.0,82,12,3,17,Overcast,1,,,
2015,rate,0,1,0,0.0,83,13,3,18,Overcast,1,,,
2015,rate,0,1,0,0.0,83,15,3,19,Overcast,1,,,
2015,rate,0,1,0,0.0,84,18,3,21,Light snow,1,,,
2015,rate,0,1,0,0.0,85,16,3,22,Light snow,1,,,
2015,rate,0,1,0,0.3,88,12,4,0,Heavy snow,1,,,
2015,rate,0,1,0,0.2,89,12,4,1,Heavy snow,1,,,
2015,rate,0,1,0,0.8,92,12,4,5,Heavy snow,1,,,
2015,rate,0,1,0,1.1,92,11,4,6,Heavy snow,1,,,
2015,rate,0,1,0,0.6,90,16,4,7,Heavy snow,1,,,
2015,rate,0,1,0,0.0,88,21,4,8,Moderate snow,1,,,
2015,rate,0,1,0,0.0,87,27,4,9,Moderate snow,1,,,
2015,rate,0,1,0,0.0,86,25,4,10,Moderate snow,1,,,
2015,rate,0,1,1,0.1,85,24,4,11,Blizzard,1,,,
2015,rate,0,1,1,0.1,85,23,4,12,Blizzard,1,,,
2015,rate,0,1,1,0.1,83,27,4,13,Blizzard,1,,,
2015,rate,0,1,0,0.0,81,31,4,14,Blizzard,1,,,
2015,rate,0,1,0,0.0,80,35,4,15,Blizzard,1,,,
2015,rate,0,1,-2,0.0,80,36,4,16,Blizzard,1,,,
2015,rate,0,1,-4,0.0,81,36,4,17,Patchy snow possible,1,,,
2015,rate,0,0,-10,0.0,81,36,5,9,Sunny,1,,,
2015,rate,0,0,-9,0.0,80,35,5,10,Sunny,1,,,
2015,rate,0,0,-8,0.0,80,34,5,11,Sunny,1,,,
2015,rate,0,0,-7,0.0,79,33,5,12,Sunny,1,,,
2015,rate,0,0,-6,0.0,79,32,5,13,Sunny,1,,,
